index	token	frequency
0	<unk>	0
1	.	8024
2	the	7303
3	,	7131
4	a	5281
5	and	4473
6	of	4396
7	to	3021
8	is	2561
9	's	2544
10	it	2422
11	that	1954
12	in	1888
13	as	1296
14	but	1172
15	film	1162
16	with	1139
17	for	1023
18	this	998
19	movie	976
20	an	972
21	its	944
22	you	857
23	n't	682
24	be	670
25	on	648
26	...	643
27	not	598
28	one	555
29	by	554
30	about	537
31	has	529
32	more	518
33	are	514
34	--	513
35	like	503
36	at	501
37	from	485
38	than	474
39	all	464
40	have	461
41	his	439
42	i	423
43	'	409
44	so	391
45	if	388
46	or	375
47	-lrb-	356
48	-rrb-	356
49	story	352
50	what	339
51	there	327
52	who	320
53	too	317
54	does	307
55	out	303
56	into	301
57	just	293
58	most	291
59	up	282
60	will	267
61	''	266
62	``	266
63	much	265
64	good	264
65	can	260
66	no	259
67	even	257
68	`	256
69	comedy	251
70	characters	236
71	some	236
72	time	231
73	he	218
74	their	218
75	only	217
76	funny	216
77	little	214
78	way	201
79	never	198
80	they	197
81	your	197
82	make	195
83	do	192
84	very	192
85	would	190
86	which	188
87	been	185
88	we	185
89	may	181
90	enough	179
91	director	178
92	work	178
93	makes	174
94	any	173
95	love	172
96	was	169
97	us	168
98	when	166
99	bad	164
100	best	162
101	life	162
102	movies	160
103	while	159
104	could	157
105	?	155
106	new	151
107	:	149
108	made	149
109	how	147
110	through	146
111	something	142
112	well	142
113	really	141
114	many	140
115	drama	139
116	her	136
117	plot	134
118	should	133
119	own	132
120	without	131
121	those	130
122	better	129
123	every	127
124	other	127
125	films	126
126	look	126
127	nothing	125
128	see	125
129	action	124
130	performances	124
131	-	123
132	people	123
133	're	122
134	being	121
135	two	121
136	still	120
137	both	118
138	also	115
139	off	115
140	them	115
141	great	114
142	might	113
143	cast	111
144	here	111
145	long	110
146	such	110
147	though	110
148	character	109
149	audience	108
150	get	108
151	big	107
152	first	107
153	another	106
154	sense	106
155	ever	105
156	fun	105
157	script	105
158	performance	104
159	between	103
160	feel	103
161	humor	103
162	often	102
163	over	100
164	because	99
165	feels	99
166	few	99
167	less	99
168	minutes	99
169	world	99
170	;	98
171	real	98
172	kind	97
173	seems	96
174	thing	96
175	yet	96
176	down	94
177	were	94
178	entertaining	93
179	after	92
180	almost	92
181	far	92
182	picture	92
183	thriller	92
184	!	91
185	man	91
186	quite	91
187	comes	90
188	documentary	90
189	end	90
190	these	90
191	hard	89
192	hollywood	89
193	've	88
194	tale	88
195	rather	87
196	'll	86
197	interesting	85
198	moments	85
199	ca	84
200	family	84
201	lot	84
202	had	83
203	my	83
204	take	83
205	ultimately	83
206	before	82
207	heart	82
208	things	82
209	go	81
210	me	81
211	screen	81
212	seen	81
213	watching	80
214	find	79
215	itself	79
216	acting	78
217	original	78
218	watch	78
219	worth	78
220	come	76
221	full	76
222	material	76
223	old	76
224	romantic	76
225	actors	75
226	american	75
227	back	75
228	right	75
229	then	75
230	where	75
231	dialogue	73
232	year	73
233	despite	72
234	gets	72
235	human	72
236	works	71
237	once	70
238	scenes	70
239	seem	70
240	times	70
241	young	69
242	making	68
243	want	68
244	cinema	67
245	our	67
246	she	67
247	years	66
248	compelling	65
249	emotional	65
250	gives	65
251	least	65
252	takes	65
253	think	65
254	again	64
255	did	64
256	music	64
257	subject	64
258	bit	63
259	give	63
